OpenTime,O,H,L,C,V,CloseTime
1649577600000,1.03700000,1.04100000,1.02700000,1.03400000,5297665.30000000,1649591999999
1649592000000,1.03400000,1.04400000,1.02900000,1.04100000,7105401.90000000,1649606399999
1649606400000,1.04000000,1.06700000,1.03900000,1.06300000,11303694.60000000,1649620799999
1649620800000,1.06400000,1.07000000,1.02300000,1.02700000,16575127.20000000,1649635199999
1649635200000,1.02600000,1.03300000,1.00100000,1.01200000,20372000.50000000,1649649599999
1649649600000,1.01200000,1.02600000,1.01000000,1.01700000,11510955.20000000,1649663999999
1649664000000,1.01700000,1.01800000,0.95700000,0.96100000,43834489.10000000,1649678399999
1649678400000,0.96100000,0.96900000,0.93800000,0.93800000,33125452.20000000,1649692799999
1649692800000,0.93900000,0.96100000,0.93200000,0.94900000,27858807.50000000,1649707199999
1649707200000,0.94800000,0.95300000,0.91700000,0.92000000,22332427.10000000,1649721599999
1649721600000,0.91900000,0.93600000,0.91500000,0.92500000,17234884.70000000,1649735999999
1649736000000,0.92500000,0.95600000,0.92300000,0.95500000,17488606.60000000,1649750399999
1649750400000,0.95600000,0.96900000,0.94100000,0.96700000,16027773.90000000,1649764799999
1649764800000,0.96700000,0.98200000,0.94500000,0.95900000,37414404.60000000,1649779199999
1649779200000,0.95900000,0.96500000,0.92900000,0.93100000,16300415.70000000,1649793599999
1649793600000,0.93100000,0.95800000,0.93000000,0.95500000,10712967.00000000,1649807999999
1649808000000,0.95400000,0.95800000,0.94300000,0.95400000,11265571.70000000,1649822399999
1649822400000,0.95300000,0.96100000,0.94900000,0.95800000,10061421.80000000,1649836799999
1649836800000,0.95800000,0.96000000,0.93800000,0.93800000,11225691.50000000,1649851199999
1649851200000,0.93800000,0.97900000,0.93400000,0.97200000,24777448.10000000,1649865599999
1649865600000,0.97200000,0.97700000,0.95900000,0.96400000,15656150.30000000,1649879999999
1649880000000,0.96400000,0.98100000,0.96300000,0.97400000,10283295.20000000,1649894399999
1649894400000,0.97400000,0.98500000,0.96900000,0.97400000,11830077.40000000,1649908799999
1649908800000,0.97400000,0.98100000,0.96500000,0.97200000,11718573.70000000,1649923199999
1649923200000,0.97200000,0.97500000,0.95100000,0.95400000,12553878.80000000,1649937599999
1649937600000,0.95400000,0.96400000,0.93200000,0.93300000,23208422.30000000,1649951999999
1649952000000,0.93400000,0.93800000,0.92300000,0.92800000,15730987.40000000,1649966399999
1649966400000,0.92800000,0.93900000,0.92500000,0.93300000,9051439.60000000,1649980799999
1649980800000,0.93300000,0.95200000,0.92900000,0.95200000,8067304.00000000,1649995199999
1649995200000,0.95200000,0.95800000,0.94100000,0.95100000,8373115.40000000,1650009599999
1650009600000,0.95200000,0.95400000,0.94400000,0.95000000,6319222.40000000,1650023999999
1650024000000,0.95000000,0.95700000,0.93800000,0.95300000,9744671.10000000,1650038399999
1650038400000,0.95300000,0.95900000,0.94800000,0.94900000,5941007.40000000,1650052799999
1650052800000,0.95000000,0.95700000,0.94900000,0.95600000,4096489.40000000,1650067199999
1650067200000,0.95500000,0.96200000,0.95100000,0.95500000,6749242.50000000,1650081599999
1650081600000,0.95400000,0.95900000,0.95300000,0.95700000,2712570.50000000,1650095999999
1650096000000,0.95800000,0.95900000,0.94900000,0.95200000,5206931.00000000,1650110399999
1650110400000,0.95100000,0.95800000,0.93700000,0.94000000,8430820.50000000,1650124799999
1650124800000,0.94000000,0.94700000,0.93700000,0.94200000,5559462.10000000,1650139199999
1650139200000,0.94100000,0.95900000,0.94000000,0.95100000,8150831.80000000,1650153599999
1650153600000,0.95000000,0.95300000,0.94000000,0.94200000,5192619.20000000,1650167999999
